,a,b,c,d,e,f,g,h,i
43,III,,,,The Empress,https://book-of-thoth.net/Atu-III-The-Empress,https://en.wikipedia.org/wiki/The_Empress_(Tarot_card),"
Thought’s reach: the wholeness of the world is Love. 

Love, beauty, happiness, pleasure, success,
completion,
good fortune, graciousness, elegance, luxury,
idleness, dissipation
debauchery, friendship, gentleness, delight."," in one hand.  The scepter is representative of her power over life, her crown has twelve stars representing her dominance over the year, and her throne is in the midst of a field of grain, representative of her dominion over growing things. The Empress is representative of the productivity of the subconscious, seeded by ideas. She is meant to be the embodiment of the growth of the natural world, fertility, and what one knows or believes from the heart.

 are responsible for the starry crown, the emblem of 

, the waterfall, and the vegetation and wildlife. In historical decks, the Empress sits on a 

 in one hand and a scepter in the other. The shield typically bears an eagle, the heraldic emblem of the 

, a figure from Greek mythology. The empress connects with the 

, for she is accustomed to life, death and rebirth.


, The Empress is the inferior (as opposed to nature's superior) 

 — a fruitful mother of thousands: ""she is above all things universal 

 and the outer sense of the Word, the repository of all things nurturing and sustaining, and of feeding others.""


The Empress is a mother, a creator, and nurturer.  In many decks she can be shown as pregnant.  She can represent the creation of life, romance, art, or business. The Empress can represent the germination of an idea before it is ready to be fully born, and the need to be receptive to change.

The Empress is associated with the planet Venus in astrology.

Waite writes that the card carries these several divinatory associations:


3. THE EMPRESS.--Fruitfulness, action, initiative, length of days; the unknown, clandestine; also difficulty, doubt, ignorance. Reversed: Light, truth, the unraveling of involved matters, public rejoicings; according to another reading, vacillation.

 in part as ""The message from Spirit is that the creative impulse is in all things and all people, including you, and you must not only accept that but honor it.""

 by Mark Ryan, this card is called ""The Green Woman"".

 by Kris Waldherr, this card is called ""III Fertility"".

 ""III Fertility"" represents ""The Empress is a Major Arcana card, and in the Upright position, symbolizes the supreme archetype of divine femininity. In the Advice position, the Empress encourages you to embrace this part of yourself as a way to restore balance to the masculine and feminine energies you possess.""

The tarot revealed: A modern guide to reading the tarot cards

The Owl, The Raven, and The Dove: Religious Meaning of the Grimm's Magic Fairy Tales

 109:15–24, ""The Celtic Tarot and the Secret Tradition: A Study in Modern Legend Making"" (1998)

A Psychological Interpretation of the Tarot#The Path of Love

https://en.wikipedia.org/w/index.php?title=The_Empress_(Tarot_card)&oldid=1052221605

 This page was last edited on 28 October 2021, at 01:15

;
additional terms may apply.  By using this site, you agree to the "
44,I,V,,,The Emperor,https://book-of-thoth.net/Atu-IV-The-Emperor,https://en.wikipedia.org/wiki/The_Emperor_(Tarot_card),"Use all thine energy to rule thy thought: burn
up thy thought as the Phoenix.

War, conquest, victory, strife, ambition, originality,
overweening
confidence and megalomania,
quarrelsomeness, energy,
vigour, stubbornness, impracticability, rashness, ill-temper.",". Another ram head can be seen on his cloak. His long white beard bears the symbol of ""wisdom"".

 scepter in his right hand, and a globe, symbol of domination, in his left. The Emperor sits atop a stark, barren mountain, a sign of ""sterility of regulation, and unyielding power.""

 He symbolizes the top of the secular hierarchy, the ultimate male 

.  The Emperor is the absolute ruler of the world.


The essential features of the design for The Emperor card have changed very little through the centuries.  The Emperor sometimes got caught up in the censorship placed on the Popess (

 card makers replaced the Popess (High Priestess), Pope (Hierophant), Empress, and Emperor with four 

 or Turks. In the Minchiate, the first of the two Emperors are assigned number III because of the removal of the Popess (High Priestess) from the deck.


 the Emperor card carries several divinatory associations:


4. THE EMPEROR.--Stability, power, protection, realization; a great person; aid, reason, conviction also authority and will. 

: Benevolence, compassion, credit; also confusion to enemies, obstruction, immaturity. 

In astrology, the Emperor is associated with the planet Mars and Aries zodiac sign or the planet Saturn and Capricorn sun sign.

The parallel, fourth Major Arcana card in the Osho Zen Tarot deck is called 

 depicts the Emperor. He is shown with a bow, a pair of skis, a shield, and a sleigh.

 Tarot version made by CLAMP, The Emperor is Kyougo Monou.

In the Mythic Tarot deck, the Emperor is depicted by 

In the Wildwood Tarot by Mark Ryan, this card is called ""The Green Man"".

In the Greenwood Tarot by Chesca Potter, this card is called ""Greenman"".

In the New Orleans Voodoo Tarot by Louis Martinie, this card is called ""

In the Tarot Del Toro, a deck inspired by the works of 

The tarot revealed: A modern guide to reading the tarot cards

""The Emperor card from the Universal Waite Tarot Deck""

https://en.wikipedia.org/w/index.php?title=The_Emperor_(Tarot_card)&oldid=1054435701

 This page was last edited on 10 November 2021, at 01:16

;
additional terms may apply.  By using this site, you agree to the "
45,V,,,,The Hierophant,https://book-of-thoth.net/Atu-V-The-Hierophant,https://en.wikipedia.org/wiki/The_Hierophant,"
for
without these thou are not disciplined for any
fight.


Stubborn strength, toil, endurance, placidity, manifestation, explanation, teaching, goodness of heart, help from superiors, patience, organization, peace.","This article is about the tarot card. For information on the title, see 

. Unsourced material may be challenged and removed.

 decks. It is derived from the historical card known as the Pope in playing card decks. It is used in 

 is represented with his right hand raised in blessing or benediction, with two fingers pointing skyward and two pointing down, thus forming a bridge between 

. The Hierophant is thus a true ""pontiff"", in that he is the builder of the bridge between deity and humanity.  In his left hand he held a 

. The Hierophant is typically male, even in decks that take a feminist view of the Tarot, such as the 

, The Hierophant was also known as ""The Teacher of Wisdom"".


In most iconographic depictions, the Hierophant is seen seated on a throne between two pillars symbolizing 

 or obedience and disobedience, according to different interpretations. He wears a triple crown, and the keys to Heaven are at his feet. Sometimes he is shown with worshippers, as his alternate title is the 

 The card is also known as ""The High Priest"", as a counterpart to ""The High Priestess"" (which itself is also sometimes known as ""The Papess"", as counterpart to ""The Pope"").


The papacy was not just a religious force, but was a political and military force as well. When the tarot was invented, the Pope controlled a large portion of central Italy known as the 

 culture did not question the abstract ideal of the Pope as God's human representative on Earth, but others involved in the religious Reformation of that Age would have disagreed. In 

, he wears a red cape and a blue robe, in contrast to The Papess, who wears a blue cape and red robe.


In occult circles the more commonly encountered modern name ""Hierophant""  is due to 

 and was an attempt to dechristianise the standard French tarot pack, the Tarot de Marseilles, out of a mistaken belief of a pre-Christian origin.

 According to de Gebelin, ""hierophant"" was the title of the chief priest in the 

 (an ancient Greek ritual). However, historical evidence shows that tarot cards were invented in Northern Italy in the first half of the 15th century and not in ancient Egypt.

, the Hierophant card carries several divinatory associations:

5. THE HIEROPHANT.--Marriage, alliance, captivity, servitude; by another account, mercy, and goodness; inspiration; the man to whom the Querent has recourse. Reversed: Society, good understanding, concord, over kindness, weakness.

https://en.wikipedia.org/w/index.php?title=The_Hierophant&oldid=1054964948

Articles needing additional references from October 2014

 This page was last edited on 13 November 2021, at 01:16

;
additional terms may apply.  By using this site, you agree to the "
46,V,I,,,The Lovers,https://book-of-thoth.net/Atu-VI-The-Lovers,https://en.wikipedia.org/wiki/The_Lovers,"Openness to inspiration, intuition, intelligence,
second sight,
childishness, frivolity, thoughtfulness divorced from
practical consideration,
indecision, self-contradition, union in a
shallow degree
with others, instability, contradiction, triviality, the
“high-brow”.","Sixth trump or Major Arcana card in most traditional Tarot decks

. Unsourced material may be challenged and removed.

, the Lovers card carries several divinatory associations:

6. THE LOVERS.—Attraction, love, beauty, trials overcome. 

 Failure, foolish designs. Another account speaks of marriage frustrated and contrarieties of all kinds.

In some traditions, the Lovers represent relationships and choices. Its appearance in a spread indicates some decision about an existing relationship, a 

 of the heart, or a choice of potential partners. Often an aspect of the 

(ette)'s lifestyle may be sacrificed and a relationship gained (or vice versa), or one potential partner may be chosen while another is turned down. Whatever the choice, it should not be made lightly, as the ramifications will be lasting.


, the imagery for this card is changed significantly from the traditional depiction. Instead of a couple receiving a blessing from a noble or cleric, the Rider–Waite deck depicts 

. By reducing the number of people depicted in the card from three to two, 

 was able to reinforce its correspondence with Gemini.

 with a serpent wrapped around its trunk. The symbolism of no return from making bad decisions, and the consequences of innocence lost, would be more widely understood from this imagery.

 Please reorganize this content to explain the subject's impact on popular culture, 

, rather than simply listing appearances. Unsourced material may be challenged and removed.

 repeatedly finds this card (card deck designed by 

 and interprets that she is destined to be in love with 

 uses Tarot cards to name character's Stands. One of the Stand's name is Steely Dan's The Lovers, which is named after The Lovers card.

A selection of ten prop tarot cards designed by Fergus Hall, used by Jane Seymour as Solitaire in Live and Let Die - [...] The cards comprising 'The Fool', 'Death', 'Justice', 'Queen of Cups', 'High Priestess'(2) and 'The Lovers' (4), the back of the cards with a red and white 007 design;

""Why millennials are looking for meaning in tarot cards""

https://en.wikipedia.org/w/index.php?title=The_Lovers&oldid=1051847177

Articles needing additional references from August 2015

 This page was last edited on 25 October 2021, at 22:59

;
additional terms may apply.  By using this site, you agree to the "
47,V,II,,,The Chariot,https://book-of-thoth.net/Atu-VII-The-Chariot,https://en.wikipedia.org/wiki/The_Chariot_(Tarot_card),"
The Sangraal, life and rapture, Wine’s and Blood’s!

Triumph, victory, hope, memory, digestion, violence in maintaining
traditional ideas, the “die-hard”, ruthlessness, lust of
destruction, obedience, faithfulness, authority under authority."," or horses. There is often a black and white motif, for example one of the steeds may be black and the other white. The figure may be crowned or helmeted, and is winged in some representations. The figure may hold a sword or wand. The 

A canopy of stars above the charioteer's head is intended to show ""celestial influences"".

, the Chariot card carries several divinatory associations:

7. THE CHARIOT.—Succour, providence; also war, triumph, presumption, vengeance, trouble. Reversed: Riot, quarrel, dispute, litigation, defeat.

""The Masonic Mallet | Articles at Masonic Dictionary""

Gray, Eden. ""Complete Guide to the Tarot."" 1970. Crown Publishers, New York, NY.

https://en.wikipedia.org/w/index.php?title=The_Chariot_(Tarot_card)&oldid=1051926392

Articles with unsourced statements from August 2020

 This page was last edited on 26 October 2021, at 11:07

;
additional terms may apply.  By using this site, you agree to the "
48,V,III,,,Adjustment,https://book-of-thoth.net/Atu-VIII-Adjustment,https://en.wikipedia.org/wiki/Justice_(Tarot_card),"Justice, or rather justesse, the act of adjustment, suspension of all action
pending decision; in material matters, may refer to law suits or prosecutions.
Socially, marriage or marriage agreements; politically, treaties.",". It is part of the tarot's Major Arcana, and usually follows the Chariot, as card VIII, although some decks vary from this pattern. 

The figure on the card holds a scale made of gold in their left hand, symbolizing a balanced decision.

, the Justice card carries several divinatory associations:

11. JUSTICE.—Equity, rightness, probity, executive; triumph of the deserving side in law. Reversed: Law in all its departments, legal complications, bigotry, bias, excessive severity.

In astrology, the Justice card is associated with the planet Venus and Libra zodiac sign.

, suggesting the numbering switch for the Strength and Justice cards

 switched the position of these two cards in order to make them better fit the astrological correspondences worked out by the 

. This switch was originally suggested in the mysterious 

 which formed the basis for the Golden Dawn's teachings regarding tarot and other subjects.

 Today many divinatory tarot decks use this numbering, particularly in the English-speaking world.


Gray, Eden. ""Complete Guide to the Tarot."" 1970. Crown Publishers, New York, NY.

https://en.wikipedia.org/w/index.php?title=Justice_(Tarot_card)&oldid=1042568971

 This page was last edited on 5 September 2021, at 17:14

;
additional terms may apply.  By using this site, you agree to the "
49,I,X,,,The Hermit,https://book-of-thoth.net/Atu-IX-The-Hermit,https://en.wikipedia.org/wiki/The_Hermit_(Tarot_card),"
And be the Light so bright that no man
seeth thee.


Illumination from within, secret impulse from within; practical
plans derived accordingly. Retirement from participation in current
events.","Ninth trump or Major Arcana card in most traditional Tarot decks

The Waite version of the card shows an old man, standing on a mountain peak, carrying a staff in one hand and a lit 

 in the other. In the background is a mountain range.


, his lantern is the Lamp of Truth, used to guide the unknowing, his patriarch's staff helps him navigate narrow paths as he seeks enlightenment and his cloak is a form of discretion.

, the Hermit card carries several divinatory associations:

9. THE HERMIT. Prudence, circumspection; also and especially treason, dissimulation, roguery, corruption. 

  Concealment, disguise, policy fear, unreasoned caution.

The card is usually thought to connote aspects of healing/recovery, particularly the kind that happens over time. In that regard, The Hermit is sometimes considered the mature and wiser version of 

. As such, both cards represent the astrological sign of 

. It is the critical factor for the issue at hand. The Hermit is the ""withdrawal from events and relationship to introspect and gather strength"". Seeking the inner voice or calling upon vision from within. A need of understanding and advice, or a wise person  who will offer knowing guidance. A card of personal experience and thoughtful temperance.


A version of Waite's of The Hermit designed by Barrington Colby is depicted on the inner jacket sleeve of 

 has the Stand Hermit Purple, with abilities inspired by 

https://en.wikipedia.org/w/index.php?title=The_Hermit_(Tarot_card)&oldid=1063803620

Wikipedia articles needing page number citations from January 2022

 This page was last edited on 5 January 2022, at 01:04

;
additional terms may apply.  By using this site, you agree to the "
50,X,,,,Fortune,https://book-of-thoth.net/Atu-X-Fortune,https://en.wikipedia.org/wiki/Wheel_of_Fortune_(Tarot_card),"Change of fortune. (This generally means good fortune
because
the fact of consultation implies anxiety or discontent.)"," was a key figure in the development of the Tarot in line with the 

 magical-religious system which was also being developed at the time,

 and this deck, as well as being in common use today, also forms the basis for a number of other modern tarot decks.

, the Wheel of Fortune card carries several divinatory associations:

10.WHEEL OF FORTUNE—Destiny, fortune, success, elevation, luck, felicity. 

, varies widely in depiction between Tarot decks.  The card has been modeled ever since the tarot's inception in the 15th century after the medieval concept of 

. Images generally show a six- or eight-spoked wheel, often attended or crested by an individual (sometimes human; sometimes a 

-like half-human) attired in an Egyptian-style headdress.  In some decks, such as the AG Müller, the wheel is also attended by an individual wearing a blindfold; and often there are people sitting or riding on the wheel whilst others are shown falling from it.


 symbol in European iconography.  The four figures shown either climb, are at the summit, or fall, or at the bottom of a revolving wheel presided over by personified 

The wheel is not always shown inscribed with any lettering.  Where this is the case, the letters T-A-R-O (clockwise) or T-O-R-A (counter clockwise) can often be found aligned against four of the spokes, which can also be interpreted as R-O-T-A, the Latin word meaning ""wheel"".  In some decks, such as the Waite, the wheel is also inscribed with additional alchemical symbols representing the 

: Earth, Air, Fire and Water (which are also said to be represented throughout the Tarot by the four ""suits"" of Pentacles or Discs, Wands, Swords, and Cups respectively.

  These emblems can also be seen on the Magician's table in the 

On the Waite card shown, though not necessarily on others, there are also four winged creatures in the corners of the card, representing the symbols of the 

 (The Lion, the Ox, the Man and the Eagle).  These four Evangelists are also represented by the four 

 is seen rising with the wheel on the right side, while the snake-like 

 descends on the left. On the wheel, alternating with the letters T-A-R-O are the Hebrew letters י-ה-ו-ה, usually transliterated as 

A common aspect to most interpretations of this card within a reading is to introduce an element of change in the 

 life, such change being in station, position or fortune: such as the rich becoming poor, or the poor becoming rich.

In the Mythic Tarot deck, the Wheel of Fortune is depicted by 

Drury, Neville: The History of Magic in the Modern Age, Constable, 2000

Reed, Ellen Cannon: The Witches Tarot, Llewellyn, 1989

Wood, Robin:The Robin Wood Tarot, Robin Wood Publishing, 1998

https://en.wikipedia.org/w/index.php?title=Wheel_of_Fortune_(Tarot_card)&oldid=1044152540

 This page was last edited on 13 September 2021, at 20:50

;
additional terms may apply.  By using this site, you agree to the "
51,X,III,,,Death,https://book-of-thoth.net/Atu-XIII-Death,https://en.wikipedia.org/wiki/Death_(Tarot_card),"
Of Death whirls Life from Trance to Trance to Trance. 


Death is the apex of one
curve of the snake Life:



behold all Opposites as
necessary complements,
and rejoice.

Transformation, change, voluntary or involuntary, in
either
case logical development of existing conditions, yet
perhaps sudden
and unexpected. Apparent death or destruction, but
such interpretation
is illusion.","""Death card"" redirects here. For the playing card, see 

, and when used for divination is often interpreted as signifying major changes in a person's life.


 and Visconti Sforza Tarot omit the name from the card, calling it ""The Card with No Name"", often with the implication of a broader meaning than literal death. There are other decks that title Death as ""Rebirth"" or ""Death-Rebirth.""


, the personification of Death. In some decks, the Grim Reaper is riding a 

, and often he is wielding a sickle or scythe. Surrounding the Grim Reaper are dead and dying people from all classes, including kings, bishops and commoners. The 

 depicts the skeleton carrying a black standard emblazoned with a white rose. In the background are two towers and a setting or rising sun.


 and other authors on the subject, it is uncommon that this card actually represents a physical death, rather it typically implies an end, possibly of a relationship or interest, and therefore an increased sense of self-awareness.

In fact, Gray interprets this card as a change of thinking from an old way into a new way.  The horse Death is riding is stepping over a prone king, which symbolizes that not even royalty can stop change.

The card, drawn in reverse, can be interpreted as stagnation and the inability to move or change according to Gray. 

, the Death card carries several divinatory associations:

13. DEATH.—End, mortality, destruction, corruption; also, for a man, the loss of a benefactor; for a woman, many contrarieties; for a maid, failure of marriage projects. 

 Inertia, sleep, lethargy, petrifaction, somnambulism; hope destroyed.

The Death card is associated with the planet Pluto and Scorpio zodiac sign in astrology.

In the Sun and Moon Tarot deck, Death is depicted as a woman bathed in fire with wings. It is titled ""Death-Rebirth""

In the Star Spinner tarot deck, Death is depicted as 

The Owl, The Raven, and The Dove: Religious Meaning of the Grimm's Magic Fairy Tales

 109 (1998):15–24, ""The Celtic Tarot and the Secret Tradition: A Study in Modern Legend Making"" (1998)

https://en.wikipedia.org/w/index.php?title=Death_(Tarot_card)&oldid=1042588172

 This page was last edited on 5 September 2021, at 19:13

;
additional terms may apply.  By using this site, you agree to the "
52,I,V,X,,Art,https://book-of-thoth.net/Atu-XIV-Art,https://en.wikipedia.org/wiki/Temperance_(Tarot_card),"Pour thine all freely from the Vase in thy right hand,



drink, and
make manifest the Virtue of that Pearl.

Combination of forces, realization, action based on accurate calculation; the way of escape, success after elaborate manoeuvres."," and in most contemporary decks the card is numbered 

 of Temperance in European iconography.  This statue is part of 

Temperance is almost invariably depicted as a person pouring liquid from one receptacle into another. Historically, this was a standard symbol of the virtue 

 with water. In many decks, the person is a winged 

, usually female or androgynous, and stands with one foot on water and one foot on land.


At the end of the path in the lower left part of the card, there is a crown to show the attainment of a goal, or mastery thereof.

In the Rider–Waite image by Pamela Coleman-Smith (shown on this page) the Hebrew 

 is on the angel's chest above the square and triangle. In the derivative Tarot decks this is usually not included.


14.TEMPERANCE.--Economy, moderation, frugality, management, accommodation. 

 Things connected with churches, religions, sects, the priesthood, sometimes even the priest who will marry Querent; also disunion, unfortunate combinations, competing interests.

Gray, Eden. ""Complete Guide to the Tarot."" 1970. Crown Publishers, New York, NY.

The Owl, The Raven, and The Dove: Religious Meaning of the Grimm's Magic Fairy Tales

 109 (1998):15-24, ""The Celtic Tarot and the Secret Tradition: A Study in Modern Legend Making"" (1998)

https://en.wikipedia.org/w/index.php?title=Temperance_(Tarot_card)&oldid=1042587911

 This page was last edited on 5 September 2021, at 19:11

;
additional terms may apply.  By using this site, you agree to the "
53,X,V,,,The Devil,https://book-of-thoth.net/Atu-XV-The-Devil,https://en.wikipedia.org/wiki/The_Devil_(Tarot_card),"
and with the left
accept all that be created otherwise.

Blind impulse, irresistibly strong and unscrupulous, ambition,
temptation, obsession, secret plan about to be executed; hard work,
obstinacy, rigidity, aching discontent, endurance.","Fifteenth Major Arcana card in most traditional Tarot decks

. Unsourced material may be challenged and removed.

, the Devil card carries several divinatory associations:

15. THE DEVIL.—Ravage, violence, vehemence, extraordinary efforts, force, fatality; that which is predestined but is not for this reason evil. 

 on the forehead, a raised right hand and a lowered left hand holding a torch. He squats on a square pedestal. Two naked demons (one male, one female) with tails stand chained to the pedestal. Levi's Baphomet has bat wings, goat horns, a raised right hand, lowered left hand, breasts and a torch on his head, and also combines human and bestial features. Many modern Tarot decks portray the Devil as a 

, the devil is portrayed with breasts, a face on the belly, eyes on the knees, lion feet and male genitalia. He also has bat-like wings, antlers, a raised right hand, a lowered left hand and a staff. Two creatures with antlers, hooves and tails are bound to his round pedestal.The Original Denotion of Devil Was Found in the Ministries of Constantinople.They See the Devil Using an Altar of Smoke and Chanting Satyr Spells Travelling all Worlds.


The Devil of the Tarot is similar to other European depiction of Satan. Here the Devil appears before 

 in a British manuscript. (Cod. Pal. germ. 137, Folio 216v Martinus Oppaviensis, Chronicon pontificum et imperatorum  ~1460)

Explains that the Devil card represents the gods Pan and Dionysis and symbolizes pleasure, abandon and excess.

https://en.wikipedia.org/w/index.php?title=The_Devil_(Tarot_card)&oldid=1064225098

Articles needing additional references from April 2009

 This page was last edited on 7 January 2022, at 07:41

;
additional terms may apply.  By using this site, you agree to the "
54,V,I,X,,The Tower,https://book-of-thoth.net/Atu-XVI-The-Tower,https://en.wikipedia.org/wiki/The_Tower_(Tarot_card),"Quarrel, combat, danger, ruin, destruction of plans, sudden
death, escape from prison.","The Belgian Tarot depicts a tree struck by lighting. It is captioned La Foudre, French for strike of lightning.

 in all Tarots that contain it, and is associated with sudden, disruptive 

, and potentially destructive change. Some early painted decks, such as the 

 and some Tarot variants used for gameplay omit it.

Early printed decks that preserve all their cards do feature The Tower. In these decks the card bears a number of different names and designs. In the 

 deck, the image usually shown is of two nude or scantily clad people fleeing the open door of what appears to be a burning building. In some 

, (""The Lightning"") and depicts a tree being struck by lightning. In the Tarot of Paris (17th century), the image shown is of the Devil beating his drums, before what appears to be the mouth of Hell; the card still is called 

 merges these two concepts, and depicts a burning tower being struck by lightning or fire from the sky, its top section dislodged and crumbling. Two men are depicted in freefall against a field of multicolored balls.

's version is based on the Marseilles image, with small tongues of fire in the shape of Hebrew 

A variety of explanations for the images on the card have been attempted. For example, it may be a reference to the biblical story of the 

, where God destroys a tower built by mankind to reach Heaven.

, and Hell could be depicted as a great gate knocked asunder by 

The Tower is sometimes interpreted as meaning danger, crisis, sudden change, destruction, higher learning, and liberation.

  In the Rider–Waite deck, the top of The Tower is a crown, which symbolizes materialistic thought being bought cheap.

16. THE TOWER.-- Misery, distress, indigence, adversity, calamity, disgrace, deception, ruin. It is a card in particular of unforeseen catastrophe. 

 Negligence, absence, distribution, carelessness, distraction, apathy, nullity, vanity.

 (""The Thunderbolt""). It shows a frightened shepherd cowering under a burning tree split by a bolt of lightning while sheep graze at its base.

In the Golden Dawn system it corresponds to the Hebrew letter 

 tarot deck by Ben Mackey, the Tower card depicts the destruction of the Packard Sawmill from 

Mystical Origins of the Tarot: From Ancient Roots to Modern Usage

McCann, David (March 1998).  Houlding, Deborah (ed.). 

Juliette Wood (1998). ""The Celtic Tarot and the Secret Tradition: A Study in Modern Legend Making"". 

https://en.wikipedia.org/w/index.php?title=The_Tower_(Tarot_card)&oldid=1046647962

Articles with unsourced statements from December 2017

 This page was last edited on 26 September 2021, at 19:19

;
additional terms may apply.  By using this site, you agree to the "
55,V,II,X,,The Star,https://book-of-thoth.net/Atu-XVII-The-Star,https://en.wikipedia.org/wiki/The_Star_(Tarot_card),"Hope, unexpected help, clearness of vision,
realization of possibilities, spiritual insight, with bad
aspects, error of judgment, dreaminess,
disappointment.","A naked woman kneels by the water; one foot is in the water and one foot is on the land.

 Above her head is one large star, representing her core essences, and seven smaller stars, representing the chakras.

  In each hand she holds a jug. From one jug she pours a liquid into the water. From the other jug she pours a liquid onto the land.

The Star represents: New hopes and splendid revelations of the future, insight, inspiration, courage and enlightenment of the spiritual self. Body and mind and converging towards the light at the end of a dark time.


, the Star card carries several divinatory associations:

17.THE STAR.--Loss, theft, privation, abandonment; another reading says--hope bright prospects, 

In astrology, the Star card is associated with the planet Uranus and Aquarius zodiac sign.

 109 (1998): 15–24, ""The Celtic Tarot and the Secret Tradition: A Study in Modern Legend Making"" (1998)

""The Star Meaning - Major Arcana Tarot Card Meanings""

https://en.wikipedia.org/w/index.php?title=The_Star_(Tarot_card)&oldid=1063465853

 This page was last edited on 3 January 2022, at 06:31

;
additional terms may apply.  By using this site, you agree to the "
56,V,III,X,,The Moon,https://book-of-thoth.net/Atu-XVIII-The-Moon,https://en.wikipedia.org/wiki/The_Moon_(Tarot_card),"
unheeded,
as thou goest
from the Midnight to
the Morning.

Illusion, deception, bewilderment, hysteria, even
madness,
dreaminess, falsehood, error, crisis, “the darkest hour
before the
dawn”, the brink of important change.","The card depicts a night scene, where two large pillars are shown. A wolf and a domesticated dog howl at 

 emerges from the water. The Moon has ""sixteen chief and sixteen secondary rays"" and ""[is] shedding the moisture of fertilizing 

 in great drops"" (totaling 15 in the Rider–Waite deck) which are all 

 apart from life of the spirit... The dog and wolf are the 

 in the presence of that place of exit, when there is only reflected light to guide it... The 

 is a  reflection and beyond it is the unknown mystery which it cannot reveal."" Additionally, ""It illuminates our animal nature"" and according to Waite,  ""the message is 'Peace, be still; and it may be that there shall come a calm upon the animal nature, while the abyss beneath shall cease from giving up a form.'""

Waite writes that the Moon card carries several divinatory associations:

18.THE MOON--Hidden enemies, danger, calumny, darkness, terror, deception, occult forces, error.  

 Instability, inconstancy, silence, lesser degrees of deception and error.

In the ""Flemish Deck"" by Vandenborre, the moon shows a woman seated in the right-hand corner with a tree in the left hand corner. The Moon is directly above her. She is shown with a 

 in her right hand and spinning thread with her left hand.

In the 17th Century French Vieville Tarot deck, instead of the above scene there is an older woman beside a tree, spinning with a spindle and distaff as the Moon shines above.

""The Pictorial Key to the Tarot: Being fragments of a Secret Tradition under the Veil of Divination""

The Pictorial Key to the Tarot: Being fragments of a Secret Tradition under the Veil of Divination

Pictorial Key to the Tarot: Being fragments of a Secret Tradition under the Veil of Divination. 1910

The Celtic Tarot and the Secret Tradition: A Study in Modern Legend Making

https://en.wikipedia.org/w/index.php?title=The_Moon_(Tarot_card)&oldid=1052176770

 This page was last edited on 27 October 2021, at 20:16

;
additional terms may apply.  By using this site, you agree to the "
57,I,X,X,,The Sun,https://book-of-thoth.net/Atu-XIX-The-Sun,https://en.wikipedia.org/wiki/The_Sun_(Tarot_card),"Glory, gain, riches, triumph, pleasure, frankness,
truth, shamelessness,
arrogance, vanity, manifestation, recovery
from sickness,
but sometimes sudden death.","A. E. Waite suggested that this card is associated with attained knowledge. An infant rides a white horse under the 

 Sun, with sunflowers in the background. The child of life holds a red flag, representing the blood of renewal while a smiling sun shines down on him, representing accomplishment. The conscious mind prevails over the fears and 

 is renewed through discovery, bringing hope for the future.


This card is generally considered positive. It is said to reflect happiness and contentment, vitality, self-confidence and success.

 Sometimes referred to as the best card in Tarot, it represents good things and positive outcomes to current struggles.


Waite suggests the card carries several divinatory associations:

19.THE SUN.—Material happiness, fortunate marriage, contentment. Reversed: The same in a lesser sense.

Wood, Juliette (1998). ""The Celtic Tarot and the Secret Tradition: A Study in Modern Legend Making"". 

https://en.wikipedia.org/w/index.php?title=The_Sun_(Tarot_card)&oldid=1039469830

 This page was last edited on 18 August 2021, at 22:15

;
additional terms may apply.  By using this site, you agree to the "
